BRAND1,BRAND2,BRAND3,MODEL1,MODEL2,MODEL3,MODEL4,GB_RAM,COLOR,EUR_PRICE,MATCH
0.0,0.0,0.0,1.0,1.0,0.0,0.0,1000000.0,1.0,0.0,MATCH
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1.0,0.0,MATCH
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,MATCH
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1.0,0.0,MATCH
1.0,0.0,0.0,1.0,1.0,1.0,0.0,1000000.0,0.0,0.0,MATCH
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1.0,0.0,MATCH
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,MATCH
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,MATCH
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,MATCH
0.0,0.0,0.0,1.0,1.0,0.0,0.0,1000000.0,1.0,0.0,MATCH
1.0,0.0,0.0,1.0,1.0,0.0,0.0,1000000.0,0.0,0.0,MATCH
1.0,0.0,0.0,1.0,1.0,0.0,0.0,1000000.0,1.0,0.0,MATCH
1.0,0.0,0.0,1.0,1.0,0.0,0.0,1000000.0,1.0,0.0,MATCH
0.0,0.0,0.0,1.0,1.0,0.0,0.0,1000000.0,0.0,0.0,MATCH
0.0,0.0,0.0,1.0,1.0,0.0,0.0,1000000.0,0.0,195.67,MATCH
0.0,0.0,0.0,1.0,1.0,0.0,0.0,1000000.0,0.0,1000000.0,MATCH
0.0,0.0,0.0,1.0,1.0,0.0,0.0,1000000.0,0.0,195.67,MATCH
1.0,0.0,0.0,1.0,1.0,0.0,0.0,1000000.0,0.0,0.0,MATCH
1.0,0.0,0.0,1.0,1.0,0.0,0.0,1000000.0,0.0,1000000.0,MATCH
0.0,0.0,0.0,1.0,1.0,0.0,0.0,1000000.0,0.0,1000000.0,MATCH
